2025-12-05 02:33:36.896 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-12-05 02:33:36.896 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-12-05 02:33:36.898 | INFO     | [nexuts:__init__:20] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1, 'load_balancing_weights': {'prealloc': 0.3, 'inflight': 0.7}}
2025-12-05 02:33:36.898 | INFO     | [persistence.snap_manager:load_snapshot:181] | Loading snapshot snapshot_data [{'id': 0, 'key': None, 'value': None, 'decode_string': None, 'children': [], 'version': 0}]
2025-12-05 02:33:36.900 | INFO     | [nexuts:_recover_from_db:265] | [Recovery] 恢复了 1 个 sentry 节点
2025-12-05 02:33:36.904 | INFO     | [Sentry_manager.Sentry:_ping:58] | [Heartbeat] http://127.0.0.1:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 127.0.0.1 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-12-05 02:34:06.899 | INFO     | [persistence.snap_manager:take_snapshot:134] | snapshot_trigger_version:4 freeze_finish_version:1
2025-12-05 02:34:35.947 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-12-05 02:34:35.948 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-12-05 02:34:35.949 | INFO     | [nexuts:__init__:20] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1, 'load_balancing_weights': {'prealloc': 0.3, 'inflight': 0.7}}
2025-12-05 02:34:35.950 | INFO     | [persistence.snap_manager:load_snapshot:181] | Loading snapshot snapshot_data [{'id': 0, 'key': None, 'value': None, 'decode_string': None, 'children': [], 'version': 0}]
2025-12-05 02:34:35.951 | INFO     | [nexuts:_recover_from_db:265] | [Recovery] 恢复了 1 个 sentry 节点
2025-12-05 02:34:35.955 | INFO     | [Sentry_manager.Sentry:_ping:58] | [Heartbeat] http://127.0.0.1:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 127.0.0.1 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-12-05 02:34:45.236 | INFO     | [nexuts:register_instance:207] | [Register] sentry=test_sentry, instance=prefill_001, type=prefill 注册成功
2025-12-05 02:34:45.239 | INFO     | [nexuts:register_instance:207] | [Register] sentry=test_sentry, instance=prefill_002, type=prefill 注册成功
2025-12-05 02:34:45.242 | INFO     | [nexuts:register_instance:207] | [Register] sentry=test_sentry, instance=prefill_003, type=prefill 注册成功
2025-12-05 02:34:47.244 | INFO     | [Api.api:get_best_instance:72] | instances_status: {'prefill_001': True, 'prefill_002': True, 'prefill_003': True}
2025-12-05 02:34:47.244 | INFO     | [Api.api:get_best_instance:73] | instances_metrics: {'prefill_001': {'prealloc_queue': 0, 'infight_queue': 0, 'weighted_load': 0}, 'prefill_002': {'prealloc_queue': 0, 'infight_queue': 0, 'weighted_load': 0}, 'prefill_003': {'prealloc_queue': 0, 'infight_queue': 0, 'weighted_load': 0}}
